x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 0,time:0.0-1.0
18.0,10.0,10.0,18.0,14.0,10.0,18.0,18.0,10.0,14.0,10.0,14.0,14.0,18.0,14.0,10.0,10.0,18.0,10.0,14.0,18.0,10.0,18.0,18.0
20.0,10.0,10.0,18.0,14.0,10.0,20.0,18.0,10.0,12.666666666666666,10.0,12.666666666666666,12.666666666666666,18.0,12.666666666666666,12.0,10.0,18.0,10.0,14.0,16.0,10.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 1,time:1.0-2.0
20.0,10.0,10.0,18.0,14.0,10.0,20.0,18.0,10.0,12.666666666666666,10.0,12.666666666666666,12.666666666666666,18.0,12.666666666666666,12.0,10.0,18.0,10.0,14.0,16.0,10.0,18.0,18.0
22.0,10.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,11.333333333333334,10.0,11.333333333333334,11.333333333333334,18.0,11.333333333333334,14.0,10.0,18.0,10.0,14.0,14.0,10.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 2,time:2.0-3.0
22.0,10.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,11.333333333333334,10.0,11.333333333333334,11.333333333333334,18.0,11.333333333333334,14.0,10.0,18.0,10.0,14.0,14.0,10.0,18.0,18.0
23.333333333333332,11.333333333333334,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,15.333333333333334,10.0,16.666666666666668,11.333333333333334,14.0,12.666666666666666,10.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 3,time:3.0-4.0
23.333333333333332,11.333333333333334,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,15.333333333333334,10.0,16.666666666666668,11.333333333333334,14.0,12.666666666666666,10.0,18.0,18.0
24.666666666666668,12.666666666666666,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,16.666666666666668,10.0,15.333333333333334,12.666666666666666,14.0,11.333333333333334,12.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 4,time:4.0-5.0
24.666666666666668,12.666666666666666,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,16.666666666666668,10.0,15.333333333333334,12.666666666666666,14.0,11.333333333333334,12.0,18.0,18.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,18.0,10.0,14.0,14.0,14.0,10.0,14.0,18.0,18.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 5,time:5.0-6.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,18.0,10.0,14.0,14.0,14.0,10.0,14.0,18.0,18.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,19.0,11.0,13.0,14.0,14.0,10.0,15.0,17.0,17.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 6,time:6.0-7.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,19.0,11.0,13.0,14.0,14.0,10.0,15.0,17.0,17.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,20.0,12.0,12.0,14.0,14.0,10.0,16.0,16.0,16.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 7,time:7.0-8.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,20.0,12.0,12.0,14.0,14.0,10.0,16.0,16.0,16.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,21.0,13.0,11.0,14.0,14.0,10.0,17.0,15.0,15.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 8,time:8.0-9.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,21.0,13.0,11.0,14.0,14.0,10.0,17.0,15.0,15.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,18.0,14.0,14.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 9,time:9.0-10.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,18.0,14.0,14.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,19.0,13.0,13.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 10,time:10.0-11.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,19.0,13.0,13.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,20.0,12.0,12.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 11,time:11.0-12.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,20.0,12.0,12.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,21.0,11.0,11.0

x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,index: 12,time:12.0-13.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,21.0,11.0,11.0
26.0,14.0,10.0,18.0,14.0,10.0,22.0,18.0,10.0,10.0,10.0,10.0,10.0,18.0,10.0,22.0,14.0,10.0,14.0,14.0,10.0,22.0,10.0,10.0

